"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 16 13:32:41 WAT 2024","Sat Mar 16 13:33:16 WAT 2024","35440","chromium","example.spec.js","","","","get started link",""
"failed","Sat Mar 16 13:32:40 WAT 2024","Sat Mar 16 13:32:48 WAT 2024","7349","chromium","Date.spec.js","Verify Date field","","","Invalid date value 2",""
"broken","Sat Mar 16 13:32:41 WAT 2024","Sat Mar 16 13:33:16 WAT 2024","35514","chromium","example.spec.js","","","","has title",""
"failed","Sat Mar 16 13:32:40 WAT 2024","Sat Mar 16 13:32:49 WAT 2024","8698","chromium","Date.spec.js","Verify Date field","","","Invalid date value 1",""
"passed","Sat Mar 16 13:32:48 WAT 2024","Sat Mar 16 13:32:56 WAT 2024","7769","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","First name alphanumeric characters",""
"passed","Sat Mar 16 13:32:55 WAT 2024","Sat Mar 16 13:33:01 WAT 2024","5951","chromium","Gender.spec.js","Gender field","","","Select 1 value",""
"failed","Sat Mar 16 13:32:41 WAT 2024","Sat Mar 16 13:32:48 WAT 2024","7275","chromium","Date.spec.js","Verify Date field","","","Invalid future date value",""
"failed","Sat Mar 16 13:32:57 WAT 2024","Sat Mar 16 13:33:13 WAT 2024","15227","chromium","Mandatory.alerts.spec.js","Verify mandatory fields","","","Verify Password mandatory field",""
"passed","Sat Mar 16 13:32:49 WAT 2024","Sat Mar 16 13:32:57 WAT 2024","8469","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","Last name special characters",""
"passed","Sat Mar 16 13:32:55 WAT 2024","Sat Mar 16 13:33:01 WAT 2024","5725","chromium","Mandatory.alerts.spec.js","Verify mandatory fields","","","Verify First name mandatory field",""
"passed","Sat Mar 16 13:32:41 WAT 2024","Sat Mar 16 13:32:49 WAT 2024","8498","chromium","E2E.positivescenario.spec.js","","","","Fill all fields",""
"passed","Sat Mar 16 13:32:47 WAT 2024","Sat Mar 16 13:32:55 WAT 2024","8453","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","First name special characters",""
"passed","Sat Mar 16 13:32:41 WAT 2024","Sat Mar 16 13:32:47 WAT 2024","6448","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","First name Numeric value",""
"failed","Sat Mar 16 13:33:01 WAT 2024","Sat Mar 16 13:33:13 WAT 2024","11697","chromium","Only.mandatory.spec.js","","","","Fill mandatory fields",""
"failed","Sat Mar 16 13:32:50 WAT 2024","Sat Mar 16 13:32:59 WAT 2024","8345","chromium","Gender.spec.js","Gender field","","","Valid gender options available",""
"passed","Sat Mar 16 13:32:56 WAT 2024","Sat Mar 16 13:33:08 WAT 2024","11703","chromium","Mandatory.alerts.spec.js","Verify mandatory fields","","","Verify Email mandatory field",""
"failed","Sat Mar 16 13:32:56 WAT 2024","Sat Mar 16 13:33:09 WAT 2024","13355","chromium","Mandatory.alerts.spec.js","Verify mandatory fields","","","Verify Last name mandatory field",""
"passed","Sat Mar 16 13:32:40 WAT 2024","Sat Mar 16 13:32:50 WAT 2024","9747","chromium","Date.spec.js","Verify Date field","","","Valid date value",""
"passed","Sat Mar 16 13:32:48 WAT 2024","Sat Mar 16 13:32:56 WAT 2024","8144","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","Last name Numeric value",""
"passed","Sat Mar 16 13:33:01 WAT 2024","Sat Mar 16 13:33:10 WAT 2024","8502","chromium","Password.check.spec.js","","","","Verify password donot match",""
"passed","Sat Mar 16 13:32:59 WAT 2024","Sat Mar 16 13:33:05 WAT 2024","6352","chromium","Mandatory.alerts.spec.js","Verify mandatory fields","","","Verify Confirm Password mandatory field",""
"passed","Sat Mar 16 13:32:50 WAT 2024","Sat Mar 16 13:32:55 WAT 2024","5618","chromium","Firstlastname.alphanumeric.spec.js","Alphanumeric values","","","Last name alphanumeric characters",""
